timestamp,value
1747760523,Good
1747760533,Good
1747760538,Good
1747760543,Good
1747760548,Good
1747760558,Good
1747760563,Good
1747760583,Good
1747760588,Good
1747760603,Good
1747760608,Good
1747760613,Good
1747760618,Good
1747760628,Good
1747760638,Good
1747760648,Good
1747760663,Good
1747760673,Good
1747760678,Good
1747760683,Good
1747760693,Good
1747760698,Good
1747760703,Good
1747760718,Good
1747760733,Good
1747760738,Good
1747760743,Good
1747760758,Good
1747760763,Good
1747760778,Good
1747760788,Good
1747760793,Good
1747760798,Good
1747760808,Good
1747760813,Good
1747760818,Good
1747760843,Good
1747760853,Good
1747760858,Good
1747760863,Good
1747760873,Good
1747760883,Good
1747760888,Good
1747760898,Good
1747760908,Good
1747760913,Good
1747760918,Good
1747760923,Good
1747760928,Good
1747760948,Good
1747760953,Good
1747760958,Good
1747760963,Good
1747760968,Good
1747760978,Good
1747760983,Good
1747760993,Good
1747760998,Good
1747761003,Bad
1747761008,Good
1747761013,Bad
1747761018,Good
1747761023,Good
1747761028,Good
1747761033,Good
1747761038,Good
1747761043,Good
1747761058,Good
1747761063,Good
1747761068,Good
1747761073,Good
1747761078,Good
1747761083,Good
1747761088,Good
1747761093,Good
1747761098,Good
1747761103,Good
1747761113,Good
1747761118,Good
1747761128,Good
1747761133,Good
1747761143,Good
1747761148,Good
1747761153,Good
1747761168,Good
1747761173,Good
1747761178,Good
1747761188,Good
1747761198,Good
1747761203,Good
1747761208,Good
1747761218,Good
1747761223,Good
1747761228,Good
1747761233,Bad
1747761238,Good
1747761243,Good
1747761248,Good
1747761253,Good
1747761298,Good
1747761313,Good
1747761318,Good
1747761323,Good
1747761328,Good
1747761343,Good
1747761348,Good
1747761353,Good
1747761368,Good
1747761373,Good
1747761388,Good
1747761393,Good
1747761398,Good
1747761408,Good
1747761413,Good
1747761418,Good
1747761423,Good
1747761433,Good
1747761438,Good
1747761443,Good
1747761448,Good
1747761453,Good
1747761458,Good
1747761463,Good
1747761483,Good
1747761488,Good
1747761493,Good
1747761503,Good
1747761513,Good
1747761518,Good
1747761523,Good
1747761528,Good
1747761538,Good
1747761543,Bad
1747761548,Good
1747761558,Good
1747761563,Good
1747761568,Good
1747761573,Good
1747761583,Good
1747761588,Good
1747761593,Good
1747761598,Good
1747761603,Good
1747761618,Good
1747761623,Good
1747761638,Good
1747761648,Good
1747761653,Good
1747761658,Good
1747761703,Good
1747761713,Good
1747761718,Good
1747761723,Good
1747761728,Good
1747761733,Good
1747761743,Good
1747761748,Good
1747761763,Good
1747761773,Good
1747761793,Good
1747761798,Good
1747761803,Good
1747761808,Good
1747761813,Good
1747761818,Good
1747761838,Good
1747761843,Good
1747761858,Good
1747761863,Good
1747761873,Good
1747761878,Good
1747761893,Good
1747761913,Good
1747761943,Good
1747761948,Good
1747761978,Good
1747761983,Good
1747761998,Good
1747762003,Good
1747762008,Good
1747762013,Good
1747762043,Good
1747762048,Good
1747762058,Good
1747762063,Good
1747762068,Good
1747762073,Good
